123: (ep_len: 13, kl: 0.0214, lr_mult: 0.1317, loss: 3.8217, entropy: 3.6907, EV_old: 0.4800, EV_new: 0.7236, sp_time: 61.5943, train_time: 15.6867)
124: (ep_len: 36, kl: 0.0304, lr_mult: 0.1317, loss: 3.6945, entropy: 3.5134, EV_old: 0.5863, EV_new: 0.7602, sp_time: 164.2202, train_time: 15.4864)
125: (ep_len: 33, kl: 0.0231, lr_mult: 0.1317, loss: 3.7406, entropy: 3.5582, EV_old: 0.5773, EV_new: 0.7214, sp_time: 164.3850, train_time: 15.6438)
126: (ep_len: 23, kl: 0.0220, lr_mult: 0.1317, loss: 3.7230, entropy: 3.5872, EV_old: 0.5931, EV_new: 0.7546, sp_time: 102.2442, train_time: 16.0461)
127: (ep_len: 28, kl: 0.0258, lr_mult: 0.1317, loss: 3.7641, entropy: 3.5125, EV_old: 0.5150, EV_new: 0.6942, sp_time: 125.1224, train_time: 15.7287)
128: (ep_len: 27, kl: 0.0359, lr_mult: 0.1317, loss: 3.7063, entropy: 3.5930, EV_old: 0.5539, EV_new: 0.7432, sp_time: 155.3442, train_time: 15.6251)
129: (ep_len: 30, kl: 0.0300, lr_mult: 0.1317, loss: 3.7594, entropy: 3.5105, EV_old: 0.5107, EV_new: 0.7137, sp_time: 204.9854, train_time: 15.5670)
130: (ep_len: 22, kl: 0.0170, lr_mult: 0.1317, loss: 3.8045, entropy: 3.5399, EV_old: 0.4283, EV_new: 0.6079, sp_time: 117.8546, train_time: 15.5190)
131: (ep_len: 16, kl: 0.0188, lr_mult: 0.1317, loss: 3.7219, entropy: 3.5191, EV_old: 0.4732, EV_new: 0.7006, sp_time: 84.2845, train_time: 15.5318)
132: (ep_len: 29, kl: 0.0196, lr_mult: 0.1317, loss: 3.8151, entropy: 3.5801, EV_old: 0.4858, EV_new: 0.6919, sp_time: 148.5913, train_time: 15.7024)
133: (ep_len: 29, kl: 0.0321, lr_mult: 0.1317, loss: 3.7046, entropy: 3.4291, EV_old: 0.5140, EV_new: 0.7190, sp_time: 144.3832, train_time: 15.5599)
134: (ep_len: 45, kl: 0.0425, lr_mult: 0.0878, loss: 3.7808, entropy: 3.6230, EV_old: 0.4713, EV_new: 0.7009, sp_time: 295.6023, train_time: 15.5648)
135: (ep_len: 20, kl: 0.0212, lr_mult: 0.0878, loss: 3.8186, entropy: 3.5061, EV_old: 0.5171, EV_new: 0.6465, sp_time: 107.5754, train_time: 15.6086)
136: (ep_len: 31, kl: 0.0223, lr_mult: 0.0878, loss: 3.7502, entropy: 3.5847, EV_old: 0.5564, EV_new: 0.7014, sp_time: 216.1125, train_time: 15.4569)
137: (ep_len: 29, kl: 0.0091, lr_mult: 0.1317, loss: 3.9522, entropy: 3.5461, EV_old: 0.3545, EV_new: 0.5355, sp_time: 163.6985, train_time: 15.5110)
138: (ep_len: 45, kl: 0.0253, lr_mult: 0.1317, loss: 3.9679, entropy: 3.6545, EV_old: 0.3306, EV_new: 0.5401, sp_time: 215.9422, train_time: 15.5975)
139: (ep_len: 30, kl: 0.0186, lr_mult: 0.1317, loss: 3.9382, entropy: 3.6070, EV_old: 0.3364, EV_new: 0.5477, sp_time: 185.5397, train_time: 15.9827)
140: (ep_len: 40, kl: 0.0166, lr_mult: 0.1317, loss: 3.9338, entropy: 3.5981, EV_old: 0.3337, EV_new: 0.5746, sp_time: 231.0757, train_time: 15.5751)
141: (ep_len: 22, kl: 0.0313, lr_mult: 0.1317, loss: 3.7504, entropy: 3.5627, EV_old: 0.4496, EV_new: 0.6855, sp_time: 149.0846, train_time: 15.5001)
142: (ep_len: 30, kl: 0.0350, lr_mult: 0.1317, loss: 3.8969, entropy: 3.6252, EV_old: 0.3700, EV_new: 0.6195, sp_time: 184.3183, train_time: 15.4653)
143: (ep_len: 38, kl: 0.0266, lr_mult: 0.1317, loss: 3.8435, entropy: 3.5413, EV_old: 0.3278, EV_new: 0.6256, sp_time: 206.6650, train_time: 15.5290)
144: (ep_len: 16, kl: 0.0212, lr_mult: 0.1317, loss: 3.9225, entropy: 3.6218, EV_old: 0.4426, EV_new: 0.6122, sp_time: 84.8905, train_time: 15.6078)
145: (ep_len: 28, kl: 0.0380, lr_mult: 0.1317, loss: 3.7496, entropy: 3.5682, EV_old: 0.6273, EV_new: 0.7419, sp_time: 126.9903, train_time: 16.0248)
146: (ep_len: 35, kl: 0.0315, lr_mult: 0.1317, loss: 3.7658, entropy: 3.5952, EV_old: 0.5385, EV_new: 0.7162, sp_time: 168.0241, train_time: 15.8247)
147: (ep_len: 21, kl: 0.0319, lr_mult: 0.1317, loss: 3.6636, entropy: 3.5025, EV_old: 0.5692, EV_new: 0.7423, sp_time: 117.4750, train_time: 15.5601)
